ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
69.31.73.fjf,2012-02-12,00:00:00,500.0,1054930.0,0000892712-03-000107,.txt,200.0,59806.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:00,500.0,1136665.0,0001074140-01-500181,.txt,200.0,13368.0,0.0,1.0,1.0,0.0,0.0,
69.31.73.igj,2012-02-12,00:00:00,500.0,1136665.0,0001074140-01-500226,.txt,200.0,13498.0,0.0,1.0,1.0,0.0,0.0,
71.34.59.jig,2012-02-12,00:00:00,500.0,1029142.0,0001181431-08-063860,.txt,200.0,19331.0,0.0,1.0,1.0,0.0,0.0,
117.104.136.bic,2012-02-12,00:00:01,500.0,1047127.0,0001209191-11-021477,-index.htm,200.0,6643.0,1.0,1.0,0.0,0.0,0.0,win
117.104.136.bic,2012-02-12,00:00:01,500.0,1047127.0,0001209191-11-010324,-index.htm,200.0,6637.0,1.0,1.0,0.0,0.0,0.0,win
168.143.243.ajg,2012-02-12,00:00:01,500.0,1040441.0,0001040441-06-000054,edgardoc.xml,200.0,12579.0,0.0,1.0,1.0,0.0,0.0,
168.143.243.ajg,2012-02-12,00:00:01,500.0,791050.0,0000907303-06-000119,photoworksform4holl7_ex.xml,200.0,5457.0,0.0,1.0,1.0,0.0,0.0,
168.143.243.ajg,2012-02-12,00:00:01,500.0,102909.0,0000932471-12-003418,.txt,304.0,,0.0,1.0,0.0,0.0,0.0,
209.170.78.hbf,2012-02-12,00:00:01,500.0,1300714.0,0000905148-11-000424,efc10-69_sc13g.htm,200.0,131233.0,0.0,1.0,0.0,0.0,1.0,
209.170.78.hbf,2012-02-12,00:00:01,500.0,1379724.0,9999999997-06-046348,.paper,200.0,295.0,0.0,1.0,0.0,0.0,1.0,
216.246.75.afh,2012-02-12,00:00:01,500.0,1294662.0,0001176256-11-000743,kbx-20110630_lab.xml,200.0,206681.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.afh,2012-02-12,00:00:01,500.0,1426703.0,0001002334-11-000463,jinkai-20110930.xml,200.0,467794.0,0.0,1.0,1.0,0.0,0.0,
216.246.75.jbd,2012-02-12,00:00:01,500.0,1426703.0,0001002334-11-000463,jinkai-20110930_lab.xml,200.0,100945.0,0.0,1.0,1.0,0.0,0.0,
63.83.61.fdh,2012-02-12,00:00:01,500.0,1361955.0,0001144204-11-048988,-index.htm,200.0,6442.0,1.0,1.0,0.0,0.0,1.0,
